id,example,Label
0,World's remotest islet back on the map &lt;strong&gt;Cash'n'Carrion&lt;/strong&gt; Designer cartography from The Rockall Times,Sci/Tech
1,Mayoral Race Write-In Effort Worries Utah (AP) AP - Election officials are worried that a massive write-in campaign mounted by Republicans in the scandal-ridden Salt Lake County mayoral race could hold up final results in other races around the state.,World
2,US plans new resolution on Darfur The US says it is preparing a new UN resolution to deal with the crisis in the troubled Darfur region of Sudan.,World
3,"Weather Makes Lawmakers Antsy The Senate Commerce Committee hears testimony on the connection between greenhouse gases and climate changes. Many legislators want to take action, but the best course remains unclear. Michael Grebb reports from Washington.",Sci/Tech
4,"Ellis says contract extension very, very close #39; #39; Defensive end Shaun Ellis and the New York Jets are  quot;real, real close quot; to an agreement on a contract extension. Ellis said Sunday that as far as he knew, there was no final agreement.",Sports
5,"Auction Debate to Outlive Google Debut NEW YORK (Reuters) - Google Inc. (GOOG.O: Quote, Profile, Research) debuted as a public company on Thursday, but that did not stop the debate over whether its auction-based IPO was a success or will influence future IPOs. ",Business
6,Paris denies embassy #39;s efforts for bidding 2012 Olympics Paris 2012 moved quickly Thursday to deny the critics from their rivals of taking the advantage of embassies to promote their bid of 2012 Olympics.,Sports
7,Turkey #39;s EU Bid Back on Course After Damaging Row Turkey #39;s bid to join the European Union was back on course Thursday after Prime Minister Tayyip Erdogan backed down in a row with the bloc over attempts to ban adultery in his Muslim nation.,World
8,Torvalds and others set for keynote at Linux summit Growing importance of Linux in the enterprise is focus of event.,Sci/Tech
9,"Humans Were Born to Run, Scientists Say Humans were born to run and evolved from ape-like creatures into the way they look today probably because of the need to cover long distances and compete for food, scientists said on Wednesday.",Sci/Tech
10,Mylan exec blasts financier #39;s plan to block King merger PITTSBURGH The chief executive of Mylan Laboratories says a move by Wall Street financier Carl Icahn (EYE #39;-kahn) to halt Mylan #39;s acquisition of King Pharmaceuticals is wrongheaded.,Business
11,DeLay Is Again Rebuked on Ethics (Los Angeles Times) Los Angeles Times - WASHINGTON  #8212; House Majority Leader Tom DeLay (R-Texas) was unanimously rebuked by the ethics committee Wednesday for involving a federal agency in a Texas partisan matter and staging a fundraiser in a way that appeared to link access to the congressman with political donations.,World
12,"Lonely hearts grandpa finds new home as au pair ROME : A retired Italian teacher has found a new home after offering after-school help for a family with kids in exchange for some human warmth and affection, a newspaper reported here.",World
13,Eritrean 'hijackers' go on trial The trial begins in Sudan of 15 Eritrean asylum seekers charged with hijacking a Libyan plane.,World
