id,example,Label
0,What is a fear of passing high objects ?,DESC
1,What is Maurizio Pellegrin 's age ?,NUM
2,Where are the Union Stockyards ?,LOC
3,What meat complemented sweet potatoes and peas in the first TV dinner ?,DESC
4,What former African leader held his country 's boxing title for nine years ?,HUM
5,What does IOC stand for ?,ABBR
6,Who released the Internet worm in the late 1980s ?,HUM
7,Where is Qatar ?,LOC
8,What do you need to do to marry someone in jail ?,ENTY
9,"What is the origin of the midwest slang , ` you 're darn tootin ' ?",ENTY
10,What do I call the sons and daughters of my first cousins ?,DESC
11,How many children does Ray Davies of the Kinks have ?,NUM
12,How many people in the world speak French ?,NUM
13,Where are the tropical rain forest distributions ?,LOC
14,How do they find an epicenter ?,ENTY
15,Where did the term `` 86ed '' come from ?,ENTY
16,Who lives at 39 Stone Canyon Way ?,HUM
17,How is Abigail Arcane related to the villainous opponent of the Swamp Thing ?,ENTY
18,What city is served by Tempelhol Airport ?,LOC
19,What 's the abbreviation for trinitrotoluene ?,ABBR
20,How do you find the area of a circle ?,ENTY
21,What corporation does Madonna advertise for ?,HUM
22,What is the recomended age to switch a child from a crib to a bed ?,NUM
23,Name a golf course in Myrtle Beach .,DESC
24,What does IBM stand for ?,ABBR
25,Name the various costumed personas of Dr. Henry Pym .,HUM
26,What was a California prayer book to an Old West gambler ?,DESC
27,What does SHIELD stand for ?,ABBR
28,Which side should a bowler facing a 37803 split hit the 3-pin on-the left or the right ?,DESC
29,Which Latin American country is the largest ?,LOC
30,How many Israeli athletes were killed at the Munich Olympics ?,NUM
31,What is the definition of a witch ?,ENTY
32,What 's the difference between TFT and dual-scan display ?,ENTY
33,Where is the Abominable Snowman said to wander ?,LOC
34,What U.S. state boasts Leif Ericson Park ?,LOC
35,"What inescapable purveyor of background music celebrated its 5th anniversary in July , 1984 ?",HUM
36,What songs were popular in 1948 ?,DESC
37,What was paper made of in the late 16th century ?,DESC
38,What does NAFTA stand for ?,ABBR
39,Where did the name Daniel originate ?,LOC
40,Where can I find lyrics for R&B ?,LOC
41,How successful is arometherapy ?,ENTY
42,What is the Peloponnesian League ?,ENTY
43,What does IQ stand for ?,ABBR
44,What is the economic impact of unemployment on the economy ?,ENTY
45,What is the chemiosmotic theory ?,ENTY
46,What was the first minimum wage ?,NUM
47,What is the origin of the ethnic category `` caucasian '' ?,ENTY
48,What are field effect transistors ?,ENTY
49,What money was used by them ?,DESC
50,What is the cultural origin of the ceremony of potlatch ?,ENTY
51,Where do people mountain climb in Nepal ?,LOC
52,Why did Egyptians shave their eyebrows ?,ENTY
53,How many Marx Brothers were there ?,NUM
54,What does CPR stand for ?,ABBR
55,What has to be produced in a writ of habeas corpus ?,DESC
56,What does `` B.Y.O.B. '' mean ?,ABBR
57,Who was the actor who played Sam in the movie Casablanca ?,HUM
58,What is the name of the 1919 occurrence in which British troops killed over 3 unarmed Indian protestors ?,DESC
59,What suburban housewife and mother of three wrote The Feminine Mystique ?,HUM
60,What two countries fought the Hundred Years ' War ?,LOC
61,What is Dick Clark 's date of birth ?,NUM
62,When does the Bible say the seasons started ?,NUM
63,Which gender has bigger thighs ?,DESC
64,How many islands make up Antigua ?,NUM
65,What English word contains the most letters ?,DESC
66,What Italian leader had a lifelong fear of the evil eye ?,HUM
67,When do you plant winter wheat ?,NUM
68,Where is Mozambique located ?,LOC
69,What is the highest peak in Africa ?,LOC
70,Who was the second man to walk on the moon ?,HUM
71,What is the only primate to lack pigment in the palms of its hands ?,DESC
72,What did the Chinese emperor present to the English soldier Gordon in recognition of his services in quelling rebellions ?,DESC
73,"What do the letters CE stand for on so many products , particularly electrical , purchased now ?",ABBR
74,Where did King Francis I hang the `` Mona Lisa '' when he owned it ?,LOC
75,What is the protection rate of using condoms ?,NUM
76,What is the size of the student body at the University of Massachusetts in Amherst ?,NUM
77,Who is Samuel F. Pickering ?,HUM
78,Who wrote the poem that starts `` I love your lips when they 're wet with wine and red with a warm desire '' ?,HUM
79,What does e.g. stand for ?,ABBR
80,What are the major differences in the Catholic and Methodist religions ?,ENTY
81,"What islands got their name from the Spanish baja mar , meaning shallow water ?",LOC
82,Where is Santa Lucia ?,LOC
83,"What President lived at 219 North Delaware Street , Independence , Missouri ?",HUM
84,What mountain range marks the border of France and Spain ?,LOC
85,Why do some clothing labels say `` Use a nonchlorine bleach '' ?,ENTY
86,What is DSL ?,ABBR
87,How many chemical elements are there ?,NUM
88,How much will gas be taxed in California by the year 2000 ?,NUM
89,What are you hearing when you put a seashell to your ear ?,ENTY
90,What London street claims to be the world center for men 's tailoring ?,LOC
91,Name the U.S. Senate majority leader and the Speaker of the House .,HUM
92,What TV family sometimes buys eclairs from Nelson 's Bakery ?,HUM
93,Who portrayed Prewett in From Here to Eternity ?,HUM
94,What effect does a prism have on light ?,ENTY
95,What should you do for an ankle sprain ?,ENTY
