id,example,Label
0,"Premise: The war had been fought, after all, to preserve the integrity of the United States.
Hypothesis: The war was fought to preserve the integrity of the United States.",entailment
1,"Premise: The Kolkata Central Zoo is the oldest zoo in India.
Hypothesis: The zoo was built in the mid-19th century.",not_entailment
2,"Premise: When the White House was moved to Washington, D.C., in 1800, it was placed on the edge of the federal grounds, in the area that is now known as the Ellipse.
Hypothesis: The White House was placed on the Ellipse.",not_entailment
3,"Premise: Some of the students have been learning how to speak Spanish.
Hypothesis: Some of the students have not been learning how to speak Spanish.",entailment
4,"Premise: If you can master the basics of grammar, you can master the basics of English.
Hypothesis: To master the basics of grammar you need to master the basics of English.",not_entailment
5,"Premise: The text of the novel is more than twice as long as the playscript.
Hypothesis: The novel is twice as long as the playscript.",entailment
6,"Premise: If you can't be bothered to go to the gym, then why bother?
Hypothesis: If you don't exercise, you are wasting your time.",not_entailment
7,"Premise: ""A Night at the Opera"" is the second best-selling opera of all time.
Hypothesis: ""La Traviata"" is the best-selling opera of all time.",not_entailment
8,"Premise: It is not for us to judge the motives of the American people.
Hypothesis: We should not judge the motives of the American people.",entailment
9,"Premise: The quality of the site is enhanced by the availability of low-cost housing, low-cost rental housing, and apartments for students.
Hypothesis: The site is affordable.",entailment
10,"Premise: Poirot watched the man with the dark eyes and graying hair.
Hypothesis: Poirot's eyes took in the appearance of the man with the dark eyes and graying hair.",entailment
11,"Premise: When the opportunity arose to purchase a new computer, the team leader sought out the assistance of the sales manager, who was familiar with the new model.
Hypothesis: The team leader sought out the assistance of the sales manager, who was familiar with the old model.",not_entailment
12,"Premise: The author describes a little girl's father as a wealthy man who was so poor that he had to work as a farmer.
Hypothesis: The author describes a little girl's father as a wealthy man who was so poor that he had to work as a farmhand.",not_entailment
13,"Premise: Oh, I'm sorry, Mr. O'Brien, I thought you were someone else.
Hypothesis: The man didn't think he was someone else.",not_entailment
14,"Premise: He said his agency had developed a format into which electronic comments could be filed, which greatly facilitated the subsequent analysis of the comments.
Hypothesis: He said his agency had developed a format into which electronic files could be organised.",entailment
15,"Premise: By the end of the 20th century, there were several major examples of this in which these principles were abandoned.
Hypothesis: Examples of this principle in action are many.",entailment
16,"Premise: One-third of the team members are married.
Hypothesis: One-third of the team members are single.",not_entailment
17,"Premise: The company, which has about 500 employees, was founded in 1998 by a pair of electrical engineers who came up with the idea for the product while brainstorming in a bar.
Hypothesis: The company was founded by two people.",entailment
18,"Premise: The only people who have ever made money from mutual funds are the ones who invested in them.
Hypothesis: Mutual funds are a terrible investment.",not_entailment
19,"Premise: In his book, ""On the Edge of Apocalypse,"" Frank Miele traces the social and political upheavals of the last two decades and the future of the Middle East.
Hypothesis: Frank Miele wrote a book about the Middle East.",entailment
20,"Premise: The little girls' hair was like flaxen hair, like the hair of the maidens in the old stories.
Hypothesis: The little girls' hair was like golden hair.",entailment
21,"Premise: It is likely that many health care organizations will continue to provide the same services they have been providing for the past decade.
Hypothesis: The organizations will continue to provide the same services.",not_entailment
22,"Premise: The crowd was not very large, and it was easy to get a good seat.
Hypothesis: The crowd was small.",not_entailment
23,"Premise: It's a good thing that he's a patient man.
Hypothesis: He is a patient man.",entailment
24,"Premise: As the Chinese say, the five elements are the basis of all things. They are the fundamental forces of nature. Water is the element of the sea, fire is the element of the sun, earth is the element of the mountains, metal is the element of the mountains, and wood is the element of the trees.
Hypothesis: The five elements are the basis of all things.",entailment
25,"Premise: It is possible that, like other institutions, the army is suffering from a loss of moral authority.
Hypothesis: The army is suffering from a loss of moral authority.",not_entailment
26,"Premise: ""La Borsa"" is a fascinating, often heartbreaking chronicle of the rise and fall of a great financial institution.
Hypothesis: The rise and fall of a great financial institution is very interesting.",entailment
27,"Premise: It is a method of problem solving that has been found to be useful in all cultures.
Hypothesis: The method is universal.",entailment
28,"Premise: The good-looking, athletic-looking actress played the love interest of the handsome, lovable, and totally adorable Mr. Potter.
Hypothesis: The good-looking, athletic-looking actress played the love interest of the lovable and totally adorable Mr. Potter.",entailment
29,"Premise: To the west of the Nile, on the Mediterranean coast, is the city of Alexandria.
Hypothesis: Alexandria is located to the east of the Nile.",not_entailment
30,"Premise: ""The Proust Questionnaire"" is an interview with a professor of French literature who asks a series of questions about Proust's ""In Search of Lost Time"".
Hypothesis: The professor is asking Proust questions.",not_entailment
31,"Premise: The last time the CFO was in the office, he announced that the company was moving to a new accounting system.
Hypothesis: The CFO is the one who announced the new accounting system.",entailment
32,"Premise: There is a story of a French peasant who had been in love with a beautiful girl for many years.
Hypothesis: The man had been in love with the girl for many years.",entailment
33,"Premise: On the wall of the lobby is a quote from a famous poet: ""It is better to travel well than to arrive.""
Hypothesis: The quote is actually from a politician.",not_entailment
34,"Premise: The new form of work organization is to organize workers in groups, each group to perform a different task.
Hypothesis: Workers are organized in groups to perform the same task.",not_entailment
35,"Premise: When I was a child, I thought that if I could just get my hands on a pair of wings, I could fly.
Hypothesis: I did not think that I could fly.",not_entailment
36,"Premise: It is important to have an accurate understanding of the historical context of the text.
Hypothesis: Understanding the historical context is important.",entailment
37,"Premise: The line was the mainstay of the country's economy.
Hypothesis: The line was a part of the country's economy.",entailment
38,"Premise: 2120: Wrote Night Orders outlining supplemental instructions for the night watches to follow.
Hypothesis: There are supplemental instructions for some people.",entailment
39,"Premise: In a hotel room, I can feel myself being taken over by the darkness.
Hypothesis: I am being taken over by the darkness.",not_entailment
40,"Premise: It's hard to imagine how he could be so dense.
Hypothesis: Bush has never been accused of being dense.",not_entailment
41,"Premise: His family is a mix of Italians, Greeks, and Turks.
Hypothesis: His family is a mix of different ethnicities.",entailment
42,"Premise: There is no way to avoid it.
Hypothesis: It is unavoidable.",entailment
43,"Premise: The site is near the historic port of Piraeus, where the Athens Metro connects with the Athens Tram.
Hypothesis: The site is near the port of Piraeus, where the Athens Metro connects with the Athens Tram.",entailment
44,"Premise: He explained that there are two types of sellers: those who have a market and those who don't.
Hypothesis: There are two types of sellers.",entailment
45,"Premise: The purpose of the forum is to raise awareness of the potential benefits of using DNA evidence in civil cases.
Hypothesis: The forum will raise awareness of the benefits of using DNA evidence in civil cases.",entailment
46,"Premise: I'm not sure I've ever heard of a non-sociopath who doesn't like to talk about himself.
Hypothesis: The reason why people like to talk about themselves is because they want to show that they are good people.",not_entailment
47,"Premise: This is what I have in mind.
Hypothesis: I have an idea.",entailment
48,"Premise: As the two girls ran toward the swings, they noticed a young man watching them from the top of the hill.
Hypothesis: The girls were running toward the swings, not away from them.",entailment
49,"Premise: It is not possible to provide a more precise estimate of the proportion of programs that are evaluated to be effective, because it is not possible to distinguish between programs that are evaluated to be effective and those that are not.
Hypothesis: The proportion of programs that are evaluated to be effective is not possible to be estimated.",entailment
50,"Premise: A hundred years ago, a black slave named Ned was freed by a Union officer named Johnson.
Hypothesis: Johnson freed Ned.",entailment
51,"Premise: There is a growing consensus that the “do not track” browser add-on, which allows users to control the way they are tracked online, is a necessary and critical tool for consumers.
Hypothesis: The browser add-on is a necessary tool for consumers.",not_entailment
52,"Premise: The door slammed.
Hypothesis: The door slammed loudly.",entailment
53,"Premise: The notion of a “business model” is important to the CIO.
Hypothesis: The CIO has a business model.",not_entailment
54,"Premise: To the extent that the Corporation is able to continue to perform its statutory mission, it will be required to comply with the reporting requirements of the Financial Accounting Standards Board.
Hypothesis: The Corporation will be required to comply with the reporting requirements of the FASB.",entailment
55,"Premise: The financial system, the federal government, and the economy are not separate.
Hypothesis: The financial system, the federal government, and the economy are all intertwined.",entailment
56,"Premise: It is not true that ""the government has no role in regulating or taxing the activities of the Internet,"" as the President said in his speech to the Internet.
Hypothesis: The government does have a role in regulating and taxing the activities of the Internet.",entailment
57,"Premise: It's a classic power-play: the government wants to shut down a TV station, and the station wants to keep broadcasting.
Hypothesis: The station is a huge supporter of the government.",not_entailment
58,"Premise: The lack of knowledge about this disease is one of the reasons for the current epidemic.
Hypothesis: The current epidemic is caused by lack of knowledge.",entailment
59,"Premise: The amount of money was not as much as I had expected.
Hypothesis: I was not paid as much as I expected.",not_entailment
60,"Premise: ""In a recent interview, [Jim] Collins [the author of ""Good to Great""] suggested that [Marissa] Mayer [the CEO of Yahoo] was an 'amazingly skilled' leader.
Hypothesis: Marissa Mayer is an amazingly skilled leader.",not_entailment
61,"Premise: The greatest source of conflict in marriage is the disparity in interests between the partners.
Hypothesis: It is the husband's interest that is greater than the wife's.",not_entailment
62,"Premise: They were all happy to go along with it.
Hypothesis: They were all under the age of 18.",not_entailment
63,"Premise: It was a lovely old house, though, with an overhanging roof and many gables.
Hypothesis: The house was beautiful.",entailment
64,"Premise: I don't know how I'll get through the next two days.
Hypothesis: I will get through the next two days.",not_entailment
65,"Premise: He is the only one who knows about the tunnel.
Hypothesis: He is the only one who knows about the tunnel's geography.",entailment
66,"Premise: The APS would pay for the first $10,000 of postage and the USPS would pay for the remaining postage.
Hypothesis: The USPS would pay for the first $10,000 of postage and the APS would pay for the remaining postage.",not_entailment
67,"Premise: There is a certain number of things in the world that we can know for certain.
Hypothesis: There are many things we can know for certain.",not_entailment
68,"Premise: Songs are great because they are universal. People everywhere can relate to them.
Hypothesis: People everywhere can relate to many things, but not all songs are universal.",not_entailment
69,"Premise: If it is true that women are more likely to be pro big government, how does that explain away the apparent triumph of big government?
Hypothesis: Women are more likely to be pro big government because of their gender.",not_entailment
70,"Premise: He will, however, be allowed to practice law in his native India, where he will represent a wealthy and politically connected family.
Hypothesis: He will be allowed to practice law in his native India because he is rich and politically connected.",not_entailment
71,"Premise: It's not that I don't like your sister, but I just don't think she's the right person for you.
Hypothesis: The right person for you is not your sister.",entailment
72,"Premise: The second largest city in Italy, after Rome, is Naples.
Hypothesis: Naples is a very large city.",entailment
73,"Premise: There are a number of famous sights in this area, including the nearby castle of Athlone.
Hypothesis: The castle of Athlone is a famous sight.",entailment
74,"Premise: A recent survey of the public by the New York Times found that 80 percent of the respondents thought that Congress should enact a new law that would allow the EPA to regulate the amount of lead in gasoline.
Hypothesis: The public is not concerned about the amount of lead in gasoline.",not_entailment
75,"Premise: He said that the only reason he went to the store was to buy a bottle of beer.
Hypothesis: He went to the store to buy a bottle of beer, but he did not buy a bottle of beer.",not_entailment
76,"Premise: The claim that the organization has no management is, in fact, false.
Hypothesis: The organization has no management.",not_entailment
77,"Premise: I don't know what I'll do if I lose my job.
Hypothesis: I don't know what I'll do if I win the lottery.",not_entailment
78,"Premise: The mother may have been thinking that the child had been hurt and that she was trying to protect him.
Hypothesis: The mother may have been afraid that the child had been hurt.",not_entailment
79,"Premise: After months of discussion, the state of Michigan agreed to send a delegation to the convention.
Hypothesis: The state of Michigan will send a delegation to the convention.",entailment
80,"Premise: There is no doubt that the marriage is not good for him.
Hypothesis: The marriage is not good for him.",entailment
81,"Premise: The importance of what you say is not in the words you say, but in the way you say them.
Hypothesis: The importance of what you say is in the words you say.",not_entailment
82,"Premise: It is not necessary to travel to Scotland to see the spectacular scenery of the Highlands.
Hypothesis: Scotland is located north of the Highlands.",not_entailment
83,"Premise: 'It's a dead end.'
Hypothesis: I thought it was a dead end but then you showed me otherwise.",not_entailment
84,"Premise: I don't think that will happen.
Hypothesis: It will not happen.",not_entailment
85,"Premise: The annual general meeting of the company was held in the main hall of the headquarters building.
Hypothesis: The annual general meeting was held in the main hall of the headquarters building.",entailment
86,"Premise: By the time the G3-7 reaches the battlefield, the Iraqis will have already fired off the first rounds of their response.
Hypothesis: The Iraqis will fire the first rounds of their response before the G3-7 reaches the battlefield.",entailment
87,"Premise: We may be forced to conclude that the surface of the earth is not flat, but is in fact a sphere.
Hypothesis: The surface of the earth is a sphere.",not_entailment
88,"Premise: The room was full of religious statues, but none of them were of the Buddha. I asked the guide about this, and he said that they were all of the Buddha, but they were all made of gold.
Hypothesis: The statues in the room were all of the Buddha, but they were all made of wood.",not_entailment
89,"Premise: The art and architecture of ancient Egypt and Mesopotamia, as well as the civilizations of the Indus Valley and the Minoan and Mycenaean civilizations, were all based on a very similar social structure.
Hypothesis: The social structure of ancient Egypt and Mesopotamia was very similar to that of the Indus Valley and the Minoan and Mycenaean civilizations.",entailment
